Compounds,Capsaicin,Dihydrocapsaicin,A-1165442,A425619,A-784168,ABT-102,AMG-517,AMG-7905,AMG 9810,CAY10448,Capsazepine,JNJ-17203212,JNJ-39439335 (Mavatrep),NEO-6860,PAC-14028 (Asivatrep),"PHE377 (V-377, PharmEste)",SB 366791,SB 452533,SB 705498,V-116517,SAF312(Libvatrep),Resiniferatoxin,PSFL2874
Capsazepine,0.7203389830508475,0.7714285714285715,0.801948051948052,0.7889908256880733,0.8187919463087249,0.7851239669421488,0.8790849673202614,0.815625,0.8166666666666667,0.7873134328358209,0.0,0.8082706766917294,0.8515625,0.8868501529051988,0.8594594594594595,0.7965616045845272,0.8300970873786407,0.7446808510638299,0.7933579335793358,0.7531645569620253,0.9016393442622951,0.8612716763005781,0.7853881278538812
JNJ-17203212,0.8475177304964538,0.875,0.7711598746081505,0.6267942583732058,0.4817813765182186,0.7217741935483871,0.7880794701986755,0.7032258064516129,0.7913385826771654,0.8952380952380953,0.8082706766917294,0.0,0.7665369649805447,0.844776119402985,0.7808219178082192,0.8218085106382979,0.8717948717948718,0.7380952380952381,0.5887096774193548,0.5864406779661018,0.8977272727272727,0.8836363636363637,0.8393574297188755
JNJ-39439335 (Mavatrep),0.842911877394636,0.8892988929889298,0.7941176470588236,0.7058823529411764,0.75177304964539,0.7542372881355932,0.6442687747035574,0.7366666666666667,0.7914893617021277,0.9057239057239057,0.8515625,0.7665369649805447,0.0,0.7986798679867987,0.8212290502793296,0.83008356545961,0.8243902439024391,0.8431372549019608,0.8021978021978022,0.7987804878048781,0.8141592920353982,0.8297029702970297,0.7272727272727273
NEO-6860,0.8038585209003215,0.8513931888544892,0.7703081232492998,0.7300380228136882,0.8469945355191257,0.6468401486988847,0.8063583815028902,0.8184210526315789,0.7959183673469388,0.8583815028901733,0.8868501529051988,0.844776119402985,0.7986798679867987,0.0,0.7851851851851852,0.8761467889908257,0.8352059925093633,0.8071895424836601,0.796969696969697,0.8341708542713568,0.7753623188405797,0.8504347826086956,0.8169014084507042
PAC-14028 (Asivatrep),0.7887323943661972,0.788135593220339,0.7289002557544757,0.7395498392282958,0.736842105263158,0.6934984520123839,0.7860824742268041,0.7512315270935961,0.7774480712166172,0.8015873015873016,0.8594594594594595,0.7808219178082192,0.8212290502793296,0.7851851851851852,0.0,0.7657657657657657,0.8575851393188855,0.8084507042253521,0.7669376693766938,0.7972350230414746,0.8845070422535212,0.7976588628762542,0.8774928774928775
"PHE377 (V-377, PharmEste)",0.8369565217391304,0.8490566037735849,0.8325471698113207,0.75,0.7519582245430809,0.7931034482758621,0.8419753086419753,0.7652811735941321,0.7941176470588236,0.8255208333333334,0.7965616045845272,0.8218085106382979,0.83008356545961,0.8761467889908257,0.7657657657657657,0.0,0.8672839506172839,0.8434065934065934,0.8110236220472441,0.8073394495412844,0.9055555555555556,0.8322475570032574,0.8263473053892215
SB 366791,0.8028846153846154,0.8465116279069768,0.6666666666666667,0.7365269461077844,0.8587786259541985,0.7315789473684211,0.8306451612903226,0.8719723183391004,0.6,0.8666666666666667,0.8300970873786407,0.8717948717948718,0.8243902439024391,0.8352059925093633,0.8575851393188855,0.8672839506172839,0.0,0.7653061224489796,0.8389830508474576,0.8440677966101695,0.8315217391304348,0.8721174004192872,0.6346153846153846
SB 452533,0.6883116883116883,0.7416666666666667,0.7328767123287672,0.7440758293838863,0.7437722419928825,0.6711711711711712,0.8178694158075601,0.8235294117647058,0.7276785714285714,0.7744360902255639,0.7446808510638299,0.7380952380952381,0.8431372549019608,0.8071895424836601,0.8084507042253521,0.8434065934065934,0.7653061224489796,0.0,0.5862068965517242,0.7993920972644377,0.8930041152263375,0.8460038986354776,0.7808219178082192
SB 705498,0.7992831541218638,0.8442906574394464,0.7156549520766773,0.6561085972850679,0.6538461538461539,0.6260504201680672,0.7987220447284344,0.6878980891719746,0.7665369649805447,0.8634920634920635,0.7933579335793358,0.5887096774193548,0.8021978021978022,0.796969696969697,0.7669376693766938,0.8110236220472441,0.8389830508474576,0.5862068965517242,0.0,0.6901840490797546,0.8768656716417911,0.8695652173913043,0.7991967871485943
V-116517,0.8141592920353982,0.8376811594202899,0.7493333333333334,0.7183098591549295,0.7048710601719197,0.7412140575079873,0.8027027027027027,0.7192513368983957,0.8256880733944953,0.845108695652174,0.7531645569620253,0.5864406779661018,0.7987804878048781,0.8341708542713568,0.7972350230414746,0.8073394495412844,0.8440677966101695,0.7993920972644377,0.6901840490797546,0.0,0.8571428571428572,0.8288135593220339,0.7718120805369127
SAF312(Libvatrep),0.8825910931174089,0.8911290322580645,0.8528428093645485,0.8390243902439024,0.8835616438356164,0.8193832599118943,0.8597122302158273,0.886435331230284,0.8533333333333333,0.9007352941176471,0.9016393442622951,0.8977272727272727,0.8141592920353982,0.7753623188405797,0.8845070422535212,0.9055555555555556,0.8315217391304348,0.8930041152263375,0.8768656716417911,0.8571428571428572,0.0,0.898635477582846,0.7755102040816326
Resiniferatoxin,0.7598343685300207,0.7720739219712526,0.7868852459016393,0.8666666666666667,0.8573943661971831,0.8084677419354839,0.8148148148148149,0.8404802744425386,0.7664543524416136,0.7779960707269156,0.8612716763005781,0.8836363636363637,0.8297029702970297,0.8504347826086956,0.7976588628762542,0.8322475570032574,0.8721174004192872,0.8460038986354776,0.8695652173913043,0.8288135593220339,0.898635477582846,0.0,0.8917322834645669
PSFL2874,0.808695652173913,0.8672199170124482,0.7416974169741697,0.6888888888888889,0.8175182481751825,0.7452830188679245,0.8113207547169812,0.8181818181818181,0.780952380952381,0.875,0.7853881278538812,0.8393574297188755,0.7272727272727273,0.8169014084507042,0.8774928774928775,0.8263473053892215,0.6346153846153846,0.7808219178082192,0.7991967871485943,0.7718120805369127,0.7755102040816326,0.8917322834645669,0.0
